NEW RUN
50000 500000 100
65000 3575.55 -1895.61 0.297912
65100 3579.22 -1898.45 0.298228
65200 3562.66 -1882.09 0.296841
65300 3567.53 -1887.41 0.297245
65400 3598.29 -1917.82 0.29981
65500 3600.55 -1920.22 0.300005
65600 3580.46 -1899.48 0.298328
65700 3570.2 -1889.7 0.297463
65800 3560.58 -1880.23 0.296659
65900 3578.99 -1898.48 0.298195
66000 3579.44 -1899.13 0.298239
66100 3619.54 -1917.06 0.301583
66200 3631.03 -1928.36 0.302536
66300 3646.98 -1944.38 0.303865
66400 3641.82 -1938.92 0.303435
66500 3661.72 -1959.05 0.305101
66600 3634.83 -1931.51 0.302847
66700 3601.65 -1898.94 0.300091
66800 3591.01 -1888.43 0.299204
66900 3588.59 -1885.73 0.299005
67000 3598.41 -1895.58 0.299818
67100 3575.64 -1872.73 0.297931
67200 3575.79 -1873.09 0.29794
67300 3584.42 -1881.82 0.298664
67400 3599.42 -1896.95 0.299901
67500 3585.25 -1882.04 0.298723
67600 3588.23 -1885.8 0.298961
67700 3609.23 -1906.37 0.300731
67800 3636.45 -1933.61 0.302996
67900 3602.23 -1899.18 0.300124
68000 3581.13 -1878.48 0.298379
68100 3582.01 -1879.29 0.298451
68200 3589.75 -1887.18 0.299109
68300 3601.49 -1898.67 0.300065
68400 3598.84 -1896.07 0.299855
68500 3612.5 -1910.11 0.301
68600 3592.03 -1888.69 0.299294
68700 3581.22 -1878.81 0.298383
68800 3573.24 -1870.01 0.297715
68900 3574.84 -1872.28 0.297849
69000 3574.97 -1871.76 0.297866
69100 3611.82 -1855.63 0.300936
69200 3605.78 -1849.75 0.300436
69300 3624.39 -1868.26 0.301986
69400 3624.73 -1868.3 0.302008
69500 3620.31 -1864.09 0.301649
69600 3602.97 -1846.61 0.300207
69700 3626.78 -1870.94 0.302176
69800 3630.11 -1874.03 0.302468
69900 3612.31 -1855.65 0.300991
70000 3637.56 -1881.67 0.303075
70100 3614.22 -1857.7 0.301145
70200 3602.18 -1845.83 0.300125
70300 3616.76 -1860.83 0.301355
70400 3616.83 -1860.39 0.301367
70500 3601.89 -1845.54 0.300112
70600 3601.88 -1845.43 0.300109
70700 3592.27 -1836.53 0.299299
70800 3629.66 -1873.83 0.302422
70900 3622.77 -1866.21 0.301857
71000 3653.25 -1897.22 0.304398
71100 3651.71 -1895.37 0.304266
71200 3633.91 -1877.58 0.302779
71300 3630.4 -1874.48 0.302487
71400 3650.06 -1893.85 0.304127
71500 3651.46 -1895.42 0.304243
71600 3666.76 -1910.4 0.305517
71700 3671.41 -1915.23 0.305907
71800 3685.98 -1929.95 0.307125
71900 3687.8 -1931.3 0.307267
72000 3660.17 -1904.04 0.304966
72100 3592.91 -1908.03 0.299365
72200 3611.79 -1926.33 0.300945
72300 3595.58 -1910.42 0.299587
72400 3587.47 -1902.29 0.298897
72500 3593.2 -1908.6 0.299384
72600 3598.8 -1913.94 0.299856
72700 3595.87 -1910.71 0.299597
72800 3582.05 -1896.67 0.298455
72900 3563.07 -1877.87 0.296876
73000 3560.66 -1875.51 0.296678
73100 3568.06 -1883.2 0.297292
73200 3558.53 -1873.74 0.296498
73300 3568.25 -1882.8 0.297297
73400 3561.82 -1876.94 0.296777
